env,crop_growth_cycle,SRAD,TMAX,TMIN,TMEAN,wind_speed,RH_MAX,RH_MIN,RH_MEAN,TDiff,RH_Diff,precipitation
Abuja20,406,5187.019973,32.90692935,22.77866848,27.84279891,2.142282609,85.97217391,51.78236413,68.87726902,10.12826087,34.18980978,1920.04
Ago-Owu18,316,5345.899685,32.6444795,23.870347,28.25741325,2.756466877,88.51135647,56.92460568,72.71798107,8.774132492,31.58675079,1082.1
Ago-Owu19,365,5398.338798,32.1023224,23.88934426,27.99583334,2.657786885,90.93456284,59.39207651,75.16331968,8.212978142,31.54248634,1647.4
Ago-Owu20,388,5452.261117,32.28122616,23.74035422,28.01079019,3.032779292,91.74662125,57.96438692,74.85550409,8.540871935,33.78223433,1673.79
Ibadan18,365,5295.313661,32.19371585,23.59808743,27.89590164,2.841803279,88.3704918,57.49590164,72.93319672,8.595628415,30.87459016,1175.9
Ibadan19,365,5373.681967,32.14972678,23.58114754,27.86543716,2.675956284,89.60437159,57.98647541,73.7954235,8.568579235,31.61789618,1438.85
Ibadan20,344,5456.409482,32.23274375,23.47098232,27.85186304,3.070923628,90.63568991,56.46961461,73.55265226,8.761761422,34.1660753,1503.69
Ikenne17,377,5294.82963,32.78941799,24.69973545,28.74457672,2.406878307,90.82619048,61.65529101,76.24074074,8.08968254,29.17089947,1723.2
Ikenne18,378,5211.51562,31.8718241,24.26178767,28.06680588,2.779823055,91.54765288,62.83850637,77.19307963,7.61003643,28.7091465,1185.6
Ikenne19,370.5,5333.791394,32.22090164,24.41734973,28.31912569,2.372677596,92.45027323,62.20191257,77.3260929,7.803551913,30.24836066,1677
Ikenne20,381,5345.035531,32.3886921,24.27122616,28.32995913,2.627111717,93.06427793,60.30318801,76.68373297,8.11746594,32.76108992,1681.29
Kano19,365,6512.216667,34.13333333,20.91065574,27.52199454,2.989344262,68.33907104,31.22540984,49.78224044,13.2226776,37.1136612,944.2
Mokwa17,375,5499.555319,34.54148936,24.02393617,29.28271277,2.547340426,77.1912234,46.34547872,61.76835106,10.51755319,30.84574468,1315.7
Mokwa18,390,5454.568108,33.51138173,23.45783763,28.48460968,2.765480094,80.0863466,48.17168098,64.12901379,10.05354411,31.91466563,1121.366667
Mokwa19,365,5611.154235,33.90669399,23.61789618,28.76229509,2.536338798,78.56543716,45.63948088,62.10245902,10.28879782,32.92595629,1258.5
Mokwa20,326,5677.114146,34.28823171,23.53378049,28.9110061,2.523689024,79.42923781,44.86280488,62.14602134,10.75445122,34.56643293,1069.24
Onne18,368,4721.333333,28.47285714,22.02095238,25.24690476,2.525238095,93.28285714,65.91380952,79.59833333,6.451904762,27.36904762,2146.7
Onne19,365,4722.776776,29.5352459,21.78469945,25.65997268,1.882240437,95.04590164,62.8226776,78.93428962,7.750546448,32.22322404,3208.4
Onne20,475,4557.0603,29.69046322,21.93880109,25.81463215,1.697220708,95.63705722,61.77730245,78.70717984,7.751662125,33.85975477,3199.89
Otobi18,371,4914.102597,31.13636364,22.71818182,26.92727273,2.379220779,89.33766234,57.75519481,73.54642857,8.418181818,31.58246753,602.5
Otobi19,365,5114.137432,32.19590164,23.10983607,27.65286885,2.130601093,86.7863388,53.84508197,70.31571038,9.086065574,32.94125683,1409.1
Ubiaja17,384,5255.770909,31.6,23.18883117,27.39441558,2.514285714,88.5387013,57.41584416,72.97727273,8.411168831,31.12285714,1881.8
Ubiaja18,408,5016.789524,30.10761905,22.64380952,26.37571429,2.704285714,91.07238095,61.56047619,76.31642857,7.463809524,29.51190476,1183.9
Ubiaja20,370,5117.335232,31.45253406,22.58326976,27.01790191,2.320490463,91.53174387,56.71313352,74.12243869,8.869264305,34.81861035,2050.45
Umudike17,379,5061.584474,31.21447368,23.67184211,27.4431579,2.321052632,91.91184211,62.09157895,77.00171053,7.542631579,29.82026316,2439.1
Umudike19,365,4630.243989,30.92513661,23.12021858,27.0226776,1.85273224,93.4568306,62.09535519,77.7760929,7.804918033,31.36147541,2795.6
Zaria20,409,6126.666403,33.1613079,20.49561308,26.82846049,2.971798365,71.56457766,33.73215259,52.64836512,12.66569482,37.83242507,1322.79
